course_name,absolute_course_url,school,school_absolute_url,subject_name,start_date
Revoluciones Comparadas,https://www.classcentral.com/course/independent-revoluciones-comparadas-20149,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/francisco-marroquin,Social Sciences Courses,Self paced
Foundations of International Psychiatry,https://www.classcentral.com/course/international-psychiatry-9663,Udacity School of AI: Now Special Discount,https://www.classcentral.com/university/unimelb,Social Sciences Courses,"21st Jun, 2020"
Professional Resilience: Building Skills to Thrive at Work,https://www.classcentral.com/course/professional-resilience-9356,Columbia Business School Executive Education,https://www.classcentral.com/university/deakin,Personal Development Courses,Self paced
Fundamentos de la colaboración en las organizaciones,https://www.classcentral.com/course/edx-fundamentos-de-la-colaboracion-en-las-organizaciones-13145,Columbia Business School Executive Education,https://www.classcentral.com/institution/logyca,Personal Development Courses,Self paced
Amazon DynamoDB: Building NoSQL Database-Driven Applications,https://www.classcentral.com/course/dynamodb-nosql-database-driven-apps-19777,Columbia Business School Executive Education,https://www.classcentral.com/institution/aws,Programming Courses,"22nd Jun, 2020"
Modern JavaScript: ES6 Basics,https://www.classcentral.com/course/modern-javascript-es6-basics-19778,Columbia Business School Executive Education,https://www.classcentral.com/institution/rhyme,Programming Courses,"22nd Jun, 2020"
Create Your First Game with Python,https://www.classcentral.com/course/python-game-19784,Columbia Business School Executive Education,https://www.classcentral.com/institution/rhyme,Programming Courses,"22nd Jun, 2020"
Fundamentals of Clinical Trials,https://www.classcentral.com/course/edx-fundamentals-of-clinical-trials-924,MIT xPRO,https://www.classcentral.com/university/harvard,Health & Medicine Courses,Self paced
Health and Society,https://www.classcentral.com/course/edx-health-and-society-923,MIT xPRO,https://www.classcentral.com/university/harvard,Health & Medicine Courses,Self paced
Betriebliches Gesundheitsmanagement,https://www.classcentral.com/course/independent-betriebliches-gesundheitsmanagement-1789,MIT xPRO,https://www.classcentral.com/institution/open-course-world,Health & Medicine Courses,Self paced
Corso introduttivo di Fisica,https://www.classcentral.com/course/eduopen-corso-introduttivo-di-fisica-7722,UC Berkeley Executive Education,https://www.classcentral.com/university/university-modena-reggio-emilia,Education & Teaching Courses,Self paced
Imparare a imparare: i DSA nella scuola delle competenze (2a ed.),https://www.classcentral.com/course/eduopen-imparare-a-imparare-i-dsa-nella-scuola-delle-competenze-2a-ed-7693,UC Berkeley Executive Education,https://www.classcentral.com/university/university-of-perugia,Education & Teaching Courses,Self paced
Teaching with Space and Astronomy in your Classroom,https://www.classcentral.com/course/independent-teaching-with-space-and-astronomy-in-your-classroom-10742,UC Berkeley Executive Education,https://www.classcentral.com/institution/europeanschoolnetacademy,Education & Teaching Courses,Self paced
Introduction to Statistics for Data Science,https://www.classcentral.com/course/opensap-introduction-to-statistics-for-data-science-17229,Kellogg School of Management,https://www.classcentral.com/subject/data-science?page=6,Data Science Courses,Self paced
Microsoft Professional Capstone : Big Data,https://www.classcentral.com/course/edx-microsoft-professional-capstone-big-data-8648,Kellogg School of Management,https://www.classcentral.com/institution/microsoft,Data Science Courses,Self paced
Projeto Aplicado - Introdução a Gestão de Projetos,https://www.classcentral.com/course/iniciacao-planejamento-de-projetos-10708,INSEAD,https://www.classcentral.com/university/usp,Business Courses,"8th Jun, 2020"
Orçamento e Cronograma de Projetos,https://www.classcentral.com/course/orcamento-cronograma-de-projetos-10722,INSEAD,https://www.classcentral.com/university/usp,Business Courses,"8th Jun, 2020"
Iniciação e Planejamento de Projetos,https://www.classcentral.com/course/projeto-aplicado-10723,INSEAD,https://www.classcentral.com/university/usp,Business Courses,"8th Jun, 2020"
Energía eléctrica: conceptos y principios básicos,https://www.classcentral.com/course/edx-energia-electrica-conceptos-y-principios-basicos-11579,UC Berkeley Executive Education,https://www.classcentral.com/university/tecdemonterrey,Engineering Courses,Self paced
Transmisión de energía eléctrica,https://www.classcentral.com/course/edx-transmision-de-energia-electrica-11580,UC Berkeley Executive Education,https://www.classcentral.com/university/tecdemonterrey,Engineering Courses,Self paced
Smart grid: las redes eléctricas del futuro,https://www.classcentral.com/course/edx-smart-grid-las-redes-electricas-del-futuro-11581,UC Berkeley Executive Education,https://www.classcentral.com/university/tecdemonterrey,Engineering Courses,Self paced
Rome: A Virtual Tour of the Ancient City,https://www.classcentral.com/course/rome-7801,Columbia Business School Executive Education,https://www.classcentral.com/university/reading,Humanities Courses,"22nd Jun, 2020"
Научные тексты — учимся писать на русском и английском,https://www.classcentral.com/course/naychnie-teksti-7746,Columbia Business School Executive Education,https://www.classcentral.com/university/mephi,Humanities Courses,"22nd Jun, 2020"
Blockchain 360: A State of the Art for Professionals,https://www.classcentral.com/course/blockchain-professionals-12595,UC Berkeley Executive Education,https://www.classcentral.com/university/eitdigital,Computer Science Courses,"11th Jun, 2020"
Regression Modeling in Practice,https://www.classcentral.com/course/regression-modeling-practice-4351,UC Berkeley Executive Education,https://www.classcentral.com/university/wesleyan,Computer Science Courses,"12th Jun, 2020"
Approximation Algorithms Part II,https://www.classcentral.com/course/approximation-algorithms-part-2-5688,UC Berkeley Executive Education,https://www.classcentral.com/university/ens,Computer Science Courses,"15th Jun, 2020"
Neurolinguistics,https://www.classcentral.com/course/neuroling-19288,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/spbu,Science Courses,"22nd Jun, 2020"
Una aproximación a la Química del Carbono,https://www.classcentral.com/course/qimica-carbono-19110,Udacity School of Business: Now Special Discount,https://www.classcentral.com/university/unam,Science Courses,"22nd Jun, 2020"
